"REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETE","METER","RUG"
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"1",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"2",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"3",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"4",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"5",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"6",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"7",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"8",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"9",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"10",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"11",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"12",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"13",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"14",0
"SEFCRI",3146,1,2022,6,10,"RGSH","NEAR0",26.20287,-80.08798,1436807,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,5.48639982443521,5.48639982443521,15,"15",0
"SEFCRI",3147,1,2022,6,10,"CPSH","NEAR0",26.19947,-80.08411,1442063,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.75359968788481,9.75359968788481,15,"1",0
"SEFCRI",3147,1,2022,6,10,"CPSH","NEAR0",26.19947,-80.08411,1442063,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.75359968788481,9.75359968788481,15,"2",0
"SEFCRI",3147,1,2022,6,10,"CPSH","NEAR0",26.19947,-80.08411,1442063,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.75359968788481,9.75359968788481,15,"3",0
"SEFCRI",3147,1,2022,6,10,"CPSH","NEAR0",26.19947,-80.08411,1442063,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.75359968788481,9.75359968788481,15,"4",0
"SEFCRI",3147,1,2022,6,10,"CPSH","NEAR0",26.19947,-80.08411,1442063,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.75359968788481,9.75359968788481,15,"5",0
"SEFCRI",3147,1,2022,6,10,"CPSH","NEAR0",26.19947,-80.08411,1442063,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.75359968788481,9.75359968788481,15,"6",0
"SEFCRI",3147,1,2022,6,10,"CPSH","NEAR0",26.19947,-80.08411,1442063,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.75359968788481,9.75359968788481,15,"7",0
"SEFCRI",3147,1,2022,6,10,"CPSH","NEAR0",26.19947,-80.08411,1442063,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.75359968788481,9.75359968788481,15,"8",0
"SEFCRI",3147,1,2022,6,10,"CPSH","NEAR0",26.19947,-80.08411,1442063,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.75359968788481,9.75359968788481,15,"9",0
"SEFCRI",3147,1,2022,6,10,"CPSH","NEAR0",26.19947,-80.08411,1442063,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.75359968788481,9.75359968788481,15,"10",0
